Year,Month,permno,count,Mkt,Mkt+1,eq_return,val_return,Market_return,eq_realreturn,val_realreturn,Market_realreturn,eq_cumreturn,val_cumreturn,Market_cumreturn
1985,11,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",72,354307249.5,333423282,0.090348655,0.075747144,0.0648,1.090348655,1.075747144,1.0648,1.351493538,1.363071787,1.193132102
1985,12,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,379686521.6,354307249.5,0.060330708,0.068611925,0.0388,1.060330708,1.068611925,1.0388,1.4330301,1.456594767,1.239425628
1986,1,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,374066952.2,379686521.6,0.019945936,-0.013883427,0.0065,1.019945936,0.986116573,1.0065,1.461613227,1.436372239,1.247481895
1986,2,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,391689172.1,374066952.2,0.084101892,0.056345933,0.0713,1.084101892,1.056345933,1.0713,1.584537665,1.517305973,1.336427354
1986,3,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,408710540.7,391689172.1,0.051199695,0.044764821,0.0488,1.051199695,1.044764821,1.0488,1.66566551,1.585227904,1.401645008
1986,4,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,412986320.6,408710540.7,0.00860386,0.011344688,-0.0131,1.00860386,1.011344688,0.9869,1.679996663,1.60321182,1.383283459
1986,5,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 57947, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",71,428533706.9,412986320.6,0.053055354,0.044989294,0.0462,1.053055354,1.044989294,1.0462,1.76912948,1.675339188,1.447191155
1986,6,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",70,427802160.4,428533706.9,-0.015636998,-0.004108369,0.0103,0.984363002,0.995891631,1.0103,1.741465606,1.668456276,1.462097224
1986,7,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",70,400478771.6,427802160.4,-0.079419158,-0.062945081,-0.0645,0.920580842,0.937054919,0.9355,1.603159874,1.563435161,1.367791953
1986,8,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 54114, 54391, 55976, 57681, 57817, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",70,430161383.4,400478771.6,0.068036332,0.07762134,0.0607,1.068036332,1.07762134,1.0607,1.712232991,1.684791093,1.450816924
